Population,State,County,electricity (kWh),Nat. Gas (cu.ft.),FUELOIL (gallons),Vehicle miles traveled,Transport (tCO2e/yr),Housing (tCO2e/yr),Food (tCO2e/yr),Goods (tCO2e/yr),Services (tCO2e/yr),Total Household Carbon Footprint (tCO2e/yr),Households,Total County Carbon Footprint (tCO2e/yr)
10,AK,JUNEAU ,4128.496254,26033.75095,72.35432978,8074.0,5.925586649,6.065464134,3.75,3.054272956,3.46641571,22.26173945,85.0,1892.247853
4336,AK,YUKON-KOYUKUK ,5581.508536,26607.26294,345.5951864,10363.60355,7.543984599,5.364597111,8.801450646,4.704033998,4.957766682,31.37183304,1132.0,35512.915
15981,AK,BETHEL ,5938.450363,26562.32004,556.6534382,11799.09405,8.452924268,3.028378568,11.5535123,5.435956769,5.560463103,34.031235,1239.0,42164.70017
1745,AK,LAKE AND PENINSULA ,6091.910223,25538.66984,579.5682494,11820.51404,8.646400446,8.18470737,9.401810888,5.201408304,5.53307307,36.96740008,819.0,30276.30066
5098,AK,ALEUTIANS WEST ,5361.596806,23406.59684,502.1714623,17587.88623,13.40899023,2.364098856,7.677669674,6.68350145,7.774904388,37.9091646,352.0,13344.02594
2930,AK,NOME ,6237.153014,25717.61528,616.9867335,9410.22901,6.76674091,11.29361349,11.62254266,5.095120961,5.099856017,39.87787404,804.0,32061.81072
7015,AK,WADE HAMPTON ,6226.941163,27352.16637,561.1607849,9389.784319,6.481276161,12.87073096,13.26398574,5.116271467,4.876636319,42.60890065,1933.0,82363.00496
4915,AK,DILLINGHAM ,6309.776757,24037.75503,637.8781641,14207.09461,10.10683273,12.30466411,9.941688708,5.289433129,5.596263386,43.23888206,1772.0,76619.29901
5148,AK,NORTH SLOPE ,7484.500367,24851.30514,95.70128764,13332.36131,10.6293642,8.118114431,9.82479021,6.955196765,7.84785842,43.37532403,1815.0,78726.21311
5726,AK,PRINCE WALES KETCHIKAN ,6236.452663,23815.60224,438.1807113,18667.44149,13.09116341,11.79760727,8.161802305,5.227800651,5.759157746,44.03753139,2663.0,117271.9461
